Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-15,6 Days,2017,https://boxd.it/97C1v1,3.5,Yes,"sehr spannender Film zu anfängen von SAS und damals in den 80er den Terroranschlag auf die Botschaft. Sehr interessant, lohnt sich anzugucken",,2025-03-14
2025-03-15,Geostorm,2017,https://boxd.it/97C3NB,3,Yes,"Dieser Film errinert sehr stark an 2012 auch von den Ursachen. Viele Szenen sehen sehr gut aus und die Story ist auch ganz ok. Wie vorher erwähnt, wenn man den Film 2012 gemocht hat, wird man hier gut aufgehoben sein
",,2025-03-14
2025-03-15,The Deep House,2021,https://boxd.it/97C4ip,3.5,,"Ein Film der hauptsächlich sich unter Wasser dreht im Stile von Found Footage. Leider passiert es über längere Zeiträume nichts(Um wahrscheinlich Spannung aufzubauen), womit der Film sich teilweise sehr langweilig anfühlt
",,2025-03-14
2025-03-15,Black Box,2021,https://boxd.it/97C5N9,3.5,,"Einer der wenigen Filme von Amazon die man nicht direkt in die Mülltonne schmeißen sollte. Hätte sogar eine höhere Bewertung bekommen, wenn das Ende nicht so schwach wäre(Meine Meinung). Hat einige Wendepunkte im Film mit denen man garnicht rechnet und auch die Story ist sehr gut geschrieben.
",,2025-03-14
2025-03-15,Antidote,2021,https://boxd.it/97C6vF,1.5,,"Leider ein Studentenfilm, also B-Movie. Das Ende ist meiner Meinung nach so gut das die Bewertung auch höher sein könnte, weil man mit sowas garnicht rechnet. Kann man gucken, muss man aber nicht
",,2025-03-14
2025-03-15,Baskin,2015,https://boxd.it/97CaZp,3.5,,"Ein türkischer Horrorfilm der tatsächlich etwas überrascht? Aber ich weiß nicht ob diese Überraschung positiv oder negativ ist. Die Bewertung von dem Film ist schwierig, da dieser so random ist. Allgemein geht es hier um eine religiöse Anspielung. Das Ende ist offen, womit man für sich überlegen kann worüber es hier sich handelt
",,2025-03-14
2025-03-15,The Unholy,2021,https://boxd.it/97Cbzn,4,,"Wenn man hier eine Beschreibung zu dem Film geben würde, könnte man sagen es ist eine Mischung aus Conjuring und einer Supernatural Folge. Sehr cooler Film!
",,2025-03-14
2025-03-15,Superdeep,2020,https://boxd.it/97Ccl7,1.5,,"Schwacher Film von Anfang an. Fängt schlecht an, die Handlung springt von einem Punkt zum anderen so das man teilweise garnicht versteht worum es sich überhaupt handelt. Kann man überspringen
",,2025-03-14
2025-03-15,Bloodline,2018,https://boxd.it/97CcS1,4.5,,"Ein extrem gut gemachter Film mit einem sehr einzigartigem Plot. Man muss nicht abwarten das etwas anfängt, denn der Film ist von Anfang an bis zum Ende gut. Plottwists, Action usw. ist alles dabei. Angucken lohnt sich!!
",,2025-03-14
2025-03-15,The Banishing,2020,https://boxd.it/97Cdwv,1,,"Hab nach ~30 minuten ausgemacht weil der film todeslangweilig war. Keine vernünftige Bewertung deswegen. Wenn dieser aber so weiter gehen würde wie die ersten 30 Minuten, wäre das eine ~2/10
",,2025-03-14
